,Gender,Career Stage,University,dept_head_gender,private_public
1261,f,associate professor,u delaware,f,public
1262,m,professor,u delaware,f,public
1263,m,professor,u delaware,f,public
1264,m,professor,u delaware,f,public
1265,m,professor,u delaware,f,public
1266,m,professor,u delaware,f,public
1267,m,assistant professor,u delaware,f,public
1268,f,assistant professor,u delaware,f,public
1269,f,assistant professor,u delaware,f,public
1270,m,assistant professor,u delaware,f,public
1271,m,assistant professor,u delaware,f,public
1272,f,assistant professor,u delaware,f,public
1273,m,assistant professor,u delaware,f,public
1274,f,assistant professor,u delaware,f,public
1275,m,assistant professor,u delaware,f,public
1276,f,associate professor,u delaware,f,public
1277,m,associate professor,u delaware,f,public
1278,f,associate professor,u delaware,f,public
1279,f,associate professor,u delaware,f,public
1280,m,associate professor,u delaware,f,public
1281,m,associate professor,u delaware,f,public
1282,m,associate professor,u delaware,f,public
1283,f,associate professor,u delaware,f,public
1284,f,professor,u delaware,f,public
1285,f,professor,u delaware,f,public
1286,m,professor,u delaware,f,public
1287,m,professor,u delaware,f,public
1288,m,professor,u delaware,f,public
1289,m,professor,u delaware,f,public
1290,m,professor,u delaware,f,public
1291,m,professor,u delaware,f,public
1292,m,professor,u delaware,f,public
1293,m,professor,u delaware,f,public
1294,m,professor,u delaware,f,public
1295,f,professor,u delaware,f,public
1296,m,professor,u delaware,f,public
1297,m,professor,u delaware,f,public
1298,m,professor,u delaware,f,public
1299,m,professor,u delaware,f,public
1300,m,professor,u delaware,f,public
1301,f,assistant professor,u hawaii,m,public
1302,f,assistant professor,u hawaii,m,public
1303,m,assistant professor,u hawaii,m,public
1304,f,assistant professor,u hawaii,m,public
1305,f,associate professor,u hawaii,m,public
1306,m,professor,u hawaii,m,public
1307,m,professor,u hawaii,m,public
1308,m,professor,u hawaii,m,public
1309,m,professor,u hawaii,m,public
1310,m,professor,u hawaii,m,public
1311,m,professor,u hawaii,m,public
1312,f,associate professor,u hawaii,m,public
1313,m,assistant professor,u hawaii,m,public
1314,f,assistant professor,u hawaii,m,public
1315,m,assistant professor,u hawaii,m,public
1316,f,associate professor,u hawaii,m,public
1317,m,associate professor,u hawaii,m,public
1318,m,associate professor,u hawaii,m,public
1319,f,associate professor,u hawaii,m,public
1320,m,professor,u hawaii,m,public
1321,m,professor,u hawaii,m,public
1322,m,professor,u hawaii,m,public
1323,m,professor,u hawaii,m,public
1324,m,professor,u hawaii,m,public
1325,m,professor,u hawaii,m,public
1326,f,professor,u hawaii,m,public
1327,m,professor,u hawaii,m,public
1328,m,professor,u hawaii,m,public
1329,m,professor,u hawaii,m,public
1330,m,professor,u hawaii,m,public
1331,m,professor,u hawaii,m,public
1332,m,professor,u hawaii,m,public
1333,m,assistant professor,u hawaii,m,public
1334,m,assistant professor,u hawaii,m,public
1335,m,assistant professor,u hawaii,m,public
1336,m,assistant professor,u hawaii,m,public
1337,f,associate professor,u hawaii,m,public
1338,m,associate professor,u hawaii,m,public
1339,m,associate professor,u hawaii,m,public
1340,m,associate professor,u hawaii,m,public
1341,f,associate professor,u hawaii,m,public
1342,m,associate professor,u hawaii,m,public
1343,f,associate professor,u hawaii,m,public
1344,m,professor,u hawaii,m,public
1345,m,professor,u hawaii,m,public
1346,m,professor,u hawaii,m,public
1347,m,professor,u hawaii,m,public
1348,m,professor,u hawaii,m,public
1349,m,professor,u hawaii,m,public
1350,m,professor,u hawaii,m,public
1351,f,professor,u hawaii,m,public
1352,m,professor,u hawaii,m,public
1353,m,professor,u hawaii,m,public
1354,m,professor,u hawaii,m,public
1355,m,professor,u hawaii,m,public
1356,m,professor,u hawaii,m,public
1357,m,professor,u hawaii,m,public
1358,m,professor,u hawaii,m,public
1359,m,professor,u hawaii,m,public
1360,m,professor,u hawaii,m,public
1361,m,assistant professor,u houston,m,public
1362,m,assistant professor,u houston,m,public
1363,f,assistant professor,u houston,m,public
1364,m,assistant professor,u houston,m,public
1365,m,assistant professor,u houston,m,public
1366,f,associate professor,u houston,m,public
1367,m,associate professor,u houston,m,public
1368,m,associate professor,u houston,m,public
1369,m,associate professor,u houston,m,public
1370,f,associate professor,u houston,m,public
1371,f,associate professor,u houston,m,public
1372,m,associate professor,u houston,m,public
1373,m,professor,u houston,m,public
1374,m,professor,u houston,m,public
1375,m,professor,u houston,m,public
1376,m,professor,u houston,m,public
1377,m,professor,u houston,m,public
1378,m,professor,u houston,m,public
1379,f,professor,u houston,m,public
1380,m,professor,u houston,m,public
1381,m,professor,u houston,m,public
1382,f,professor,u houston,m,public
1383,f,professor,u houston,m,public
1384,m,professor,u houston,m,public
1385,m,professor,u houston,m,public
1386,m,professor,u houston,m,public
1387,m,professor,u houston,m,public
1388,m,professor,u houston,m,public
1389,m,professor,u houston,m,public
1390,m,professor,u houston,m,public
1391,m,professor,u houston,m,public
1392,f,assistant professor,u iowa,m,public
1393,m,associate professor,u iowa,m,public
1394,m,associate professor,u iowa,m,public
1395,f,associate professor,u iowa,m,public
1396,f,associate professor,u iowa,m,public
1397,m,associate professor,u iowa,m,public
1398,m,professor,u iowa,m,public
1399,m,professor,u iowa,m,public
1400,m,professor,u iowa,m,public
1401,f,professor,u iowa,m,public
1402,m,professor,u iowa,m,public
1403,m,professor,u iowa,m,public
1404,m,professor,u iowa,m,public
1405,m,assistant professor,u kansas,m,public
1407,m,assistant professor,u kansas,m,public
1408,f,assistant professor,u kansas,m,public
1409,m,assistant professor,u kansas,m,public
1410,f,associate professor,u kansas,m,public
1411,m,associate professor,u kansas,m,public
1412,m,associate professor,u kansas,m,public
1413,m,professor,u kansas,m,public
1414,m,professor,u kansas,m,public
1415,m,professor,u kansas,m,public
1416,m,professor,u kansas,m,public
1417,m,professor,u kansas,m,public
1418,m,professor,u kansas,m,public
1419,m,professor,u kansas,m,public
1420,f,professor,u kansas,m,public
1421,m,professor,u kansas,m,public
1422,m,professor,u kansas,m,public
1423,f,assistant professor,u kansas,m,public
1424,m,assistant professor,u kansas,m,public
1425,f,assistant professor,u kansas,m,public
1426,m,associate professor,u kansas,m,public
1427,m,associate professor,u kansas,m,public
1428,m,associate professor,u kansas,m,public
1429,f,associate professor,u kansas,m,public
1430,f,associate professor,u kansas,m,public
1431,m,associate professor,u kansas,m,public
1432,m,professor,u kansas,m,public
1433,m,professor,u kansas,m,public
1434,m,professor,u kansas,m,public
1435,m,professor,u kansas,m,public
1436,m,professor,u kansas,m,public
1437,m,professor,u kansas,m,public
1438,f,professor,u kansas,m,public
1439,m,professor,u kansas,m,public
1440,f,professor,u kansas,m,public
1441,f,professor,u kansas,m,public
1442,m,professor,u kansas,m,public
1443,f,professor,u kansas,m,public
1444,m,professor,u kansas,m,public
1445,m,professor,u kansas,m,public
1446,m,professor,u kansas,m,public
1447,f,assistant professor,u miami,m,public
1448,m,assistant professor,u miami,m,public
1449,f,assistant professor,u miami,m,public
1450,m,assistant professor,u miami,m,public
1451,m,assistant professor,u miami,m,public
1452,f,assistant professor,u miami,m,public
1453,f,assistant professor,u miami,m,public
1454,f,assistant professor,u miami,m,public
1455,m,associate professor,u miami,m,public
1457,f,associate professor,u miami,m,public
1458,m,associate professor,u miami,m,public
1459,f,associate professor,u miami,m,public
1460,m,associate professor,u miami,m,public
1461,m,associate professor,u miami,m,public
1462,m,professor,u miami,m,public
1463,m,professor,u miami,m,public
1464,m,professor,u miami,m,public
1465,f,professor,u miami,m,public
1466,m,professor,u miami,m,public
1467,f,professor,u miami,m,public
1468,m,professor,u miami,m,public
1469,m,professor,u miami,m,public
1470,m,professor,u miami,m,public
1471,m,professor,u miami,m,public
1472,m,professor,u miami,m,public
1473,f,professor,u miami,m,public
1474,m,professor,u miami,m,public
1475,m,professor,u miami,m,public
1476,m,professor,u miami,m,public
1477,f,professor,u miami,m,public
1478,m,professor,u miami,m,public
1479,m,professor,u miami,m,public
1480,m,professor,u miami,m,public
1481,m,professor,u miami,m,public
1482,m,professor,u miami,m,public
1483,m,professor,u miami,m,public
1484,m,professor,u miami,m,public
1485,m,professor,u miami,m,public
1486,m,professor,u miami,m,public
1487,m,professor,u miami,m,public
1488,m,professor,u miami,m,public
1489,f,professor,u miami,m,public
1490,m,professor,u miami,m,public
1491,m,professor,u miami,m,public
1492,m,professor,u miami,m,public
1493,f,professor,u miami,m,public
1494,m,professor,u miami,m,public
1495,m,professor,u miami,m,public
1496,m,professor,u miami,m,public
1497,f,professor,u miami,m,public
1498,f,professor,u miami,m,public
1499,m,professor,u miami,m,public
1500,m,professor,u miami,m,public
1501,f,professor,u miami,m,public
1502,m,professor,u miami,m,public
1503,m,professor,u miami,m,public
1504,f,professor,u miami,m,public
1505,m,professor,u miami,m,public
1506,m,professor,u miami,m,public
1507,m,professor,u miami,m,public
1508,m,professor,u miami,m,public
1509,m,professor,u miami,m,public
1510,m,professor,u miami,m,public
1511,m,professor,u miami,m,public
1512,f,professor,u miami,m,public
1513,m,assistant professor,u michigan,f,public
1514,f,assistant professor,u michigan,f,public
1515,m,associate professor,u michigan,f,public
1516,m,associate professor,u michigan,f,public
1517,f,associate professor,u michigan,f,public
1518,m,associate professor,u michigan,f,public
1519,f,associate professor,u michigan,f,public
1520,m,associate professor,u michigan,f,public
1521,f,associate professor,u michigan,f,public
1522,f,associate professor,u michigan,f,public
1523,m,professor,u michigan,f,public
1524,m,professor,u michigan,f,public
1525,m,professor,u michigan,f,public
1526,m,professor,u michigan,f,public
1527,m,professor,u michigan,f,public
1528,m,professor,u michigan,f,public
1529,m,professor,u michigan,f,public
1530,m,professor,u michigan,f,public
1531,f,professor,u michigan,f,public
1532,f,professor,u michigan,f,public
1533,m,professor,u michigan,f,public
1534,m,professor,u michigan,f,public
1535,m,professor,u michigan,f,public
1536,m,professor,u michigan,f,public
1537,m,professor,u michigan,f,public
1538,m,professor,u michigan,f,public
1539,f,professor,u michigan,f,public
1540,m,professor,u michigan,f,public
1541,m,associate professor,u michigan,f,public
1542,m,professor,u michigan,f,public
1543,m,assistant professor,u michigan,f,public
1544,f,assistant professor,u michigan,f,public
1545,f,assistant professor,u michigan,f,public
1546,f,assistant professor,u michigan,f,public
1547,f,assistant professor,u michigan,f,public
1548,m,assistant professor,u michigan,f,public
1549,f,associate professor,u michigan,f,public
1550,m,associate professor,u michigan,f,public
1551,m,associate professor,u michigan,f,public
1552,f,associate professor,u michigan,f,public
1553,m,associate professor,u michigan,f,public
1554,m,associate professor,u michigan,f,public
1555,m,professor,u michigan,f,public
1556,m,professor,u michigan,f,public
1557,m,professor,u michigan,f,public
1558,f,professor,u michigan,f,public
1559,f,professor,u michigan,f,public
1560,f,professor,u michigan,f,public
1561,f,professor,u michigan,f,public
1562,f,professor,u michigan,f,public
1563,f,professor,u michigan,f,public
1564,m,professor,u michigan,f,public
1565,m,professor,u michigan,f,public
1566,m,professor,u michigan,f,public
1567,m,professor,u michigan,f,public
1568,m,professor,u michigan,f,public
1569,m,professor,u michigan,f,public
1570,m,professor,u michigan,f,public
1571,m,professor,u michigan,f,public
1572,m,professor,u michigan,f,public
1573,m,assistant professor,u minnesota twin cities,f,public
1574,f,assistant professor,u minnesota twin cities,f,public
1575,m,assistant professor,u minnesota twin cities,f,public
1576,f,assistant professor,u minnesota twin cities,f,public
1577,f,assistant professor,u minnesota twin cities,f,public
1578,m,assistant professor,u minnesota twin cities,f,public
1579,m,assistant professor,u minnesota twin cities,f,public
1580,m,associate professor,u minnesota twin cities,f,public
1581,m,associate professor,u minnesota twin cities,f,public
1582,f,associate professor,u minnesota twin cities,f,public
1583,m,professor,u minnesota twin cities,f,public
1584,m,professor,u minnesota twin cities,f,public
1585,m,professor,u minnesota twin cities,f,public
1586,m,professor,u minnesota twin cities,f,public
1587,m,professor,u minnesota twin cities,f,public
1588,m,professor,u minnesota twin cities,f,public
1589,m,professor,u minnesota twin cities,f,public
1590,m,professor,u minnesota twin cities,f,public
1591,m,professor,u minnesota twin cities,f,public
1592,m,professor,u minnesota twin cities,f,public
1593,f,professor,u minnesota twin cities,f,public
1594,m,professor,u minnesota twin cities,f,public
1595,m,professor,u minnesota twin cities,f,public
1596,m,professor,u minnesota twin cities,f,public
1597,m,professor,u minnesota twin cities,f,public
1598,f,professor,u minnesota twin cities,f,public
1600,f,assistant professor,u minnesota twin cities,f,public
1601,m,assistant professor,u minnesota twin cities,f,public
1602,m,assistant professor,u minnesota twin cities,f,public
1603,m,assistant professor,u minnesota twin cities,f,public
1604,f,assistant professor,u minnesota twin cities,f,public
1605,f,assistant professor,u minnesota twin cities,f,public
1606,f,assistant professor,u minnesota twin cities,f,public
1607,f,assistant professor,u minnesota twin cities,f,public
1608,m,associate professor,u minnesota twin cities,f,public
1609,m,associate professor,u minnesota twin cities,f,public
1610,m,associate professor,u minnesota twin cities,f,public
1611,m,associate professor,u minnesota twin cities,f,public
1612,m,associate professor,u minnesota twin cities,f,public
1613,m,associate professor,u minnesota twin cities,f,public
1614,f,associate professor,u minnesota twin cities,f,public
1615,f,associate professor,u minnesota twin cities,f,public
1616,m,professor,u minnesota twin cities,f,public
1617,m,professor,u minnesota twin cities,f,public
1618,m,professor,u minnesota twin cities,f,public
1619,m,professor,u minnesota twin cities,f,public
1620,m,professor,u minnesota twin cities,f,public
1621,m,professor,u minnesota twin cities,f,public
1622,m,professor,u minnesota twin cities,f,public
1623,m,professor,u minnesota twin cities,f,public
1624,m,professor,u minnesota twin cities,f,public
1625,m,professor,u minnesota twin cities,f,public
1626,f,assistant professor,u nevada reno,m,public
1627,m,assistant professor,u nevada reno,m,public
1628,m,assistant professor,u nevada reno,m,public
1629,m,assistant professor,u nevada reno,m,public
1630,m,assistant professor,u nevada reno,m,public
1631,f,assistant professor,u nevada reno,m,public
1632,m,associate professor,u nevada reno,m,public
1633,m,associate professor,u nevada reno,m,public
1634,f,associate professor,u nevada reno,m,public
1635,m,associate professor,u nevada reno,m,public
1636,m,professor,u nevada reno,m,public
1637,f,professor,u nevada reno,m,public
1638,f,professor,u nevada reno,m,public
1639,m,professor,u nevada reno,m,public
1640,f,professor,u nevada reno,m,public
1641,m,professor,u nevada reno,m,public
1642,m,professor,u nevada reno,m,public
1643,m,assistant professor,u nevada reno,m,public
1644,m,assistant professor,u nevada reno,m,public
1645,m,assistant professor,u nevada reno,m,public
1646,m,assistant professor,u nevada reno,m,public
1647,f,assistant professor,u nevada reno,m,public
1648,m,assistant professor,u nevada reno,m,public
1649,m,assistant professor,u nevada reno,m,public
1650,m,assistant professor,u nevada reno,m,public
1651,m,assistant professor,u nevada reno,m,public
1652,m,assistant professor,u nevada reno,m,public
1653,f,associate professor,u nevada reno,m,public
1654,f,associate professor,u nevada reno,m,public
1655,m,associate professor,u nevada reno,m,public
1656,f,associate professor,u nevada reno,m,public
1657,f,professor,u nevada reno,m,public
1658,m,professor,u nevada reno,m,public
1659,m,professor,u nevada reno,m,public
1660,m,professor,u nevada reno,m,public
1661,m,professor,u nevada reno,m,public
1662,f,professor,u nevada reno,m,public
1663,m,professor,u nevada reno,m,public
1664,m,professor,u nevada reno,m,public
1665,f,assistant professor,u oklahoma norman,f,public
1666,m,assistant professor,u oklahoma norman,f,public
1667,m,assistant professor,u oklahoma norman,f,public
1668,f,assistant professor,u oklahoma norman,f,public
1669,m,assistant professor,u oklahoma norman,f,public
1670,f,assistant professor,u oklahoma norman,f,public
1671,m,assistant professor,u oklahoma norman,f,public
1672,m,assistant professor,u oklahoma norman,f,public
1673,m,associate professor,u oklahoma norman,f,public
1674,m,associate professor,u oklahoma norman,f,public
1675,m,associate professor,u oklahoma norman,f,public
1676,m,associate professor,u oklahoma norman,f,public
1677,f,professor,u oklahoma norman,f,public
1678,m,professor,u oklahoma norman,f,public
1679,m,professor,u oklahoma norman,f,public
1680,m,professor,u oklahoma norman,f,public
1681,f,professor,u oklahoma norman,f,public
1682,m,professor,u oklahoma norman,f,public
1683,m,professor,u oklahoma norman,f,public
1684,m,professor,u oklahoma norman,f,public
1685,m,assistant professor,u oklahoma norman,f,public
1686,m,assistant professor,u oklahoma norman,f,public
1687,f,assistant professor,u oklahoma norman,f,public
1688,f,assistant professor,u oklahoma norman,f,public
1689,m,assistant professor,u oklahoma norman,f,public
1690,m,associate professor,u oklahoma norman,f,public
1691,m,associate professor,u oklahoma norman,f,public
1692,m,associate professor,u oklahoma norman,f,public
1693,m,associate professor,u oklahoma norman,f,public
1694,m,professor,u oklahoma norman,f,public
1695,m,professor,u oklahoma norman,f,public
1696,m,professor,u oklahoma norman,f,public
1697,m,professor,u oklahoma norman,f,public
1698,m,professor,u oklahoma norman,f,public
1699,m,professor,u oklahoma norman,f,public
1700,m,professor,u oklahoma norman,f,public
1701,m,professor,u oklahoma norman,f,public
1702,m,professor,u oklahoma norman,f,public
1703,f,professor,u oklahoma norman,f,public
1704,m,professor,u oklahoma norman,f,public
1705,m,professor,u oklahoma norman,f,public
1706,m,associate professor,u rhode island,m,public
1707,f,associate professor,u rhode island,m,public
1708,m,associate professor,u rhode island,m,public
1709,f,associate professor,u rhode island,m,public
1710,m,professor,u rhode island,m,public
1711,m,professor,u rhode island,m,public
1712,f,assistant professor,u rhode island,m,public
1713,m,assistant professor,u rhode island,m,public
1714,f,assistant professor,u rhode island,m,public
1715,f,assistant professor,u rhode island,m,public
1716,m,assistant professor,u rhode island,m,public
1717,m,assistant professor,u rhode island,m,public
1718,m,associate professor,u rhode island,m,public
1719,f,associate professor,u rhode island,m,public
1720,f,associate professor,u rhode island,m,public
1721,m,professor,u rhode island,m,public
1722,m,professor,u rhode island,m,public
1723,m,professor,u rhode island,m,public
1724,m,professor,u rhode island,m,public
1725,f,professor,u rhode island,m,public
1726,m,professor,u rhode island,m,public
1727,m,professor,u rhode island,m,public
1728,m,professor,u rhode island,m,public
1729,f,professor,u rhode island,m,public
1730,m,professor,u rhode island,m,public
1731,m,professor,u rhode island,m,public
1732,f,professor,u rhode island,m,public
1733,f,professor,u rhode island,m,public
1734,m,professor,u rhode island,m,public
1735,m,professor,u rhode island,m,public
1736,f,professor,u rhode island,m,public
1737,m,professor,u rhode island,m,public
1738,m,professor,u rhode island,m,public
1739,m,professor,u rhode island,m,public
1740,m,professor,u rhode island,m,public
1741,f,professor,u rhode island,m,public
1742,f,assistant professor,u south carolina,m,public
1743,f,assistant professor,u south carolina,m,public
1744,f,assistant professor,u south carolina,m,public
1745,m,assistant professor,u south carolina,m,public
1746,m,assistant professor,u south carolina,m,public
1747,m,assistant professor,u south carolina,m,public
1748,m,assistant professor,u south carolina,m,public
1749,f,assistant professor,u south carolina,m,public
1750,m,assistant professor,u south carolina,m,public
1751,f,assistant professor,u south carolina,m,public
1752,m,associate professor,u south carolina,m,public
1753,m,associate professor,u south carolina,m,public
1754,f,associate professor,u south carolina,m,public
1755,m,associate professor,u south carolina,m,public
1756,m,associate professor,u south carolina,m,public
1757,m,associate professor,u south carolina,m,public
1758,f,associate professor,u south carolina,m,public
1759,f,professor,u south carolina,m,public
1760,m,professor,u south carolina,m,public
1761,f,professor,u south carolina,m,public
1762,m,professor,u south carolina,m,public
1763,m,professor,u south carolina,m,public
1764,m,professor,u south carolina,m,public
1765,m,professor,u south carolina,m,public
1766,f,professor,u south carolina,m,public
1767,m,professor,u south carolina,m,public
1768,m,professor,u south carolina,m,public
1769,m,professor,u south carolina,m,public
1770,f,professor,u south carolina,m,public
1771,m,professor,u south carolina,m,public
1772,m,professor,u south carolina,m,public
1773,m,assistant professor,u south florida,m,public
1774,f,assistant professor,u south florida,m,public
1775,m,assistant professor,u south florida,m,public
1776,f,assistant professor,u south florida,m,public
1777,f,assistant professor,u south florida,m,public
1778,m,assistant professor,u south florida,m,public
1779,m,associate professor,u south florida,m,public
1780,m,associate professor,u south florida,m,public
1781,m,associate professor,u south florida,m,public
1782,f,associate professor,u south florida,m,public
1783,m,associate professor,u south florida,m,public
1784,m,associate professor,u south florida,m,public
1785,f,associate professor,u south florida,m,public
1786,m,associate professor,u south florida,m,public
1787,m,associate professor,u south florida,m,public
1788,m,associate professor,u south florida,m,public
1789,m,associate professor,u south florida,m,public
1790,m,associate professor,u south florida,m,public
1791,m,associate professor,u south florida,m,public
1792,f,professor,u south florida,m,public
1793,f,professor,u south florida,m,public
1794,m,professor,u south florida,m,public
1795,m,professor,u south florida,m,public
1796,f,professor,u south florida,m,public
1797,m,professor,u south florida,m,public
1798,f,professor,u south florida,m,public
1799,m,professor,u south florida,m,public
1800,m,professor,u south florida,m,public
1801,m,professor,u south florida,m,public
1802,m,professor,u south florida,m,public
1803,m,professor,u south florida,m,public
1804,m,professor,u south florida,m,public
1805,m,professor,u south florida,m,public
1806,m,professor,u south florida,m,public
1807,m,professor,u south florida,m,public
1808,m,professor,u south florida,m,public
1809,f,associate professor,u utah,m,public
1810,m,associate professor,u utah,m,public
1811,m,associate professor,u utah,m,public
1812,m,associate professor,u utah,m,public
1813,m,professor,u utah,m,public
1814,m,professor,u utah,m,public
1815,m,professor,u utah,m,public
1816,m,professor,u utah,m,public
1817,m,professor,u utah,m,public
1818,f,professor,u utah,m,public
1819,m,professor,u utah,m,public
1820,m,professor,u utah,m,public
1821,f,assistant professor,u utah,m,public
1822,f,assistant professor,u utah,m,public
1823,f,associate professor,u utah,m,public
1824,m,associate professor,u utah,m,public
1825,m,associate professor,u utah,m,public
1826,m,associate professor,u utah,m,public
1827,m,associate professor,u utah,m,public
1828,m,associate professor,u utah,m,public
1829,m,associate professor,u utah,m,public
1830,m,associate professor,u utah,m,public
1831,m,professor,u utah,m,public
1832,m,professor,u utah,m,public
1833,m,professor,u utah,m,public
1834,f,professor,u utah,m,public
1835,m,professor,u utah,m,public
1836,f,professor,u utah,m,public
1837,m,professor,u utah,m,public
1838,m,professor,u utah,m,public
1839,m,professor,u utah,m,public
1840,m,professor,u utah,m,public
1841,f,professor,u utah,m,public
1842,f,associate professor,u washington,m,public
1843,f,assistant professor,u washington,m,public
1844,m,assistant professor,u washington,m,public
